692756480,692760575,RW,Rwanda,Ville de Kigali,Kigali,-1.94995,30.05885
692760576,692764671,ZA,South Africa,Western Cape,Claremont,-33.98056,18.46528
692764672,692767487,ZA,South Africa,Gauteng,Sandton,-26.05447,28.05891
692767488,692767743,FR,France,Hauts-de-France,Roubaix,50.69421,3.17456
692767744,692768767,ZA,South Africa,Gauteng,Sandton,-26.05447,28.05891
692768768,692770303,MG,Madagascar,Antananarivo,Antananarivo,-18.91368,47.53613
692770304,692770559,MG,Madagascar,Antsiranana,Hell-Ville,-13.4,48.26667
241565696,241565951,IN,India,Delhi,Delhi,28.66667,77.21667
241565952,241566207,IN,India,Haryana,Gurgaon,28.46667,77.03333
241566208,241566463,IN,India,Tamil Nadu,Korampallam,8.76667,78.1
241566464,241566975,IN,India,Delhi,Delhi,28.66667,77.21667
241566976,241567231,IN,India,Uttar Pradesh,Noida,28.58,77.33
241567232,241567487,IN,India,Uttarakhand,Kichha,28.91667,79.5
241567488,241567743,IN,India,Bihar,Buxar,25.58333,83.98333
241567744,241567999,IN,India,Uttarakhand,Pithoragarh,29.58333,80.21667
1068017664,1068017919,YE,Yemen,Al Hudaydah,Al Hudaydah,14.79781,42.95452
16777216,16777471,US,United States of America,California,Los Angeles,34.05223,-118.24368
16777472,16778239,CN,China,Fujian,Fuzhou,26.06139,119.30611
16778240,16779263,AU,Australia,Victoria,Melbourne,-37.814,144.96332
16779264,16781311,CN,China,Guangdong,Guangzhou,23.11667,113.25
16781312,16785407,JP,Japan,Tokyo,Tokyo,35.689506,139.6917
16785408,16793599,CN,China,Guangdong,Guangzhou,23.11667,113.25
16793600,16797695,JP,Japan,Hiroshima,Hiroshima,34.38528,132.45528
16797696,16797951,JP,Japan,Okayama,Okayama,34.65,133.917
16797952,16798207,JP,Japan,Tottori,Kurayoshi,35.433,133.817
16798208,16798463,JP,Japan,Tottori,Yonago,35.433,133.333
16798464,16798719,JP,Japan,Tottori,Kurayoshi,35.433,133.817
16798720,16798975,JP,Japan,Tottori,Yonago,35.433,133.333
16798976,16799231,JP,Japan,Shimane,Matsue,35.467,133.05
16799232,16799487,JP,Japan,Okayama,Okayama,34.65,133.917
16799488,16799999,JP,Japan,Shimane,Matsue,35.467,133.05
16800000,16800255,JP,Japan,Tottori,Kurayoshi,35.433,133.817
16800256,16800511,JP,Japan,Okayama,Okayama,34.65,133.917
16800512,16801023,JP,Japan,Shimane,Izumo,35.367,132.767
16801024,16801279,JP,Japan,Hiroshima,Hiroshima,34.38528,132.45528
16801280,16801535,JP,Japan,Tottori,Yonago,35.433,133.333
16801536,16801791,JP,Japan,Okayama,Okayama,34.65,133.917
16801792,16802559,JP,Japan,Shimane,Izumo,35.367,132.767
16802560,16802815,JP,Japan,Tottori,Tottori,35.5,134.233
16802816,16803071,JP,Japan,Shimane,Izumo,35.367,132.767
16803072,16803327,JP,Japan,Shimane,Matsue,35.467,133.05
16803328,16803583,JP,Japan,Yamaguchi,Yamaguchi,34.183,131.467
16803584,16803839,JP,Japan,Tottori,Yonago,35.433,133.333
16803840,16804095,JP,Japan,Shimane,Izumo,35.367,132.767
16804096,16804351,JP,Japan,Shimane,Matsue,35.467,133.05
16804352,16804607,JP,Japan,Tottori,Yonago,35.433,133.333
16804608,16804863,JP,Japan,Shimane,Matsue,35.467,133.05
16804864,16805119,JP,Japan,Okayama,Okayama,34.65,133.917
16805120,16805375,JP,Japan,Hiroshima,Hiroshima,34.38528,132.45528
16805376,16805631,JP,Japan,Shimane,Izumo,35.367,132.767
16805632,16805887,JP,Japan,Hiroshima,Hiroshima,34.38528,132.45528
16805888,16806143,JP,Japan,Shimane,Izumo,35.367,132.767
16806144,16806399,JP,Japan,Tottori,Yonago,35.433,133.333
16806400,16806655,JP,Japan,Hiroshima,Hiroshima,34.38528,132.45528
16806656,16806911,JP,Japan,Shimane,Izumo,35.367,132.767
